date	close
2010-10-09	5831
2010-10-08	5475
2010-10-02	5442
2010-10-10	5345
2010-09-25	5110
2010-10-01	5021
2010-10-03	4970
2010-09-24	4780
2010-09-11	4761
2010-10-07	4669
2010-09-26	4627
2010-09-29	4448
2010-09-18	4299
2010-09-19	4299
2010-09-23	4215
2010-10-16	4210
2010-09-30	4155
2010-09-28	4137
2010-10-11	4125
2010-09-16	4031
2010-09-21	4029
2010-09-17	4023
2010-10-23	3994
2010-08-28	3986
2010-09-22	3946
2010-09-15	3939
2010-09-12	3935
2010-09-10	3888
2010-09-14	3881
2010-10-13	3874
2010-09-04	3851
2010-10-12	3841
2010-08-27	3785
2010-08-21	3699
2010-09-20	3691
2010-09-27	3669
2010-09-08	3637
2010-09-05	3624
2010-10-06	3623
2010-10-17	3621
2010-10-15	3593
2010-09-02	3584
2010-08-26	3569
2010-08-29	3565
2010-08-14	3562
2010-10-22	3556
2010-08-20	3548
2010-10-30	3547
2010-09-01	3546
2010-09-13	3545
2010-09-03	3526
2010-10-24	3526
2010-09-09	3523
2010-08-07	3507
2010-10-14	3458
2010-08-19	3419
2010-09-06	3322
2010-11-02	3312
2010-07-31	3300
2010-08-31	3286
2010-10-20	3279
2010-08-08	3278
2010-10-31	3275
2010-08-13	3252
2010-10-21	3218
2010-11-07	3203
2010-09-07	3196
2010-11-13	3182
2010-10-29	3181
2010-08-06	3174
2010-07-17	3142
2010-11-06	3119
2010-11-14	3085
2010-08-15	3049
2010-08-22	3044
2010-10-05	3044
2010-08-30	3042
2010-10-28	3037
2010-07-24	3026
2010-11-03	3013
2010-08-25	2973
2010-10-19	2970
2010-08-18	2964
2010-07-18	2959
2010-08-12	2945
2010-07-23	2912
2010-08-24	2904
2010-07-30	2902
2010-11-20	2901
2010-08-17	2855
2010-08-04	2852
2010-08-10	2846
2010-08-03	2844
2010-08-11	2827
2010-07-11	2818
2010-07-25	2792
2010-11-01	2786
2010-10-18	2782
2010-11-21	2771
2010-08-05	2766
2010-07-10	2763
2010-06-26	2752
2010-10-26	2746
2010-10-27	2745
2010-07-29	2742
2010-11-05	2716
2010-08-01	2704
2010-07-09	2693
2010-11-12	2677
2010-07-22	2669
2010-07-16	2667
2010-07-21	2659
2010-11-11	2638
2010-07-15	2628
2010-07-27	2618
2010-07-02	2598
2010-07-28	2588
2010-06-27	2574
2010-08-23	2561
2010-10-04	2558
2010-06-12	2554
2010-07-20	2533
2010-08-16	2531
2010-11-19	2512
2010-11-18	2505
2010-11-04	2497
2010-06-19	2493
2010-06-30	2488
2010-08-02	2476
2010-07-03	2475
2010-08-09	2461
2010-10-25	2441
2010-11-23	2437
2010-07-07	2431
2010-07-01	2428
2010-11-16	2379
2010-06-24	2352
2010-06-18	2343
2010-07-26	2341
2010-11-24	2293
2010-06-29	2252
2010-06-11	2250
2010-07-08	2241
2010-06-25	2235
2010-11-10	2231
2010-07-14	2229
2010-11-09	2219
2010-11-15	2172
2010-06-17	2148
2010-11-17	2144
2010-06-23	2131
2010-07-13	2128
2010-06-08	2118
2010-06-13	2107
2010-06-20	2107
2010-07-19	2101
2010-06-05	2095
2010-07-05	2095
2010-07-04	2089
2010-07-06	2084
2010-06-16	2079
2010-06-06	2079
2010-12-04	2074
2010-11-25	2067
2010-12-01	2039
2010-12-03	2037
2010-06-10	2014
2010-11-22	2006
2010-06-04	2002
2010-06-28	1997
2010-12-02	1985
2010-06-09	1973
2010-12-11	1958
2010-07-12	1950
2010-11-28	1942
2010-06-03	1940
2010-05-22	1894
2010-06-22	1890
2010-11-26	1886
2010-11-27	1837
2010-11-08	1795
2010-05-08	1791
2010-06-07	1786
2010-12-05	1778
2010-05-28	1773
2010-12-29	1767
2010-05-15	1765
2010-06-02	1735
2010-05-29	1724
2010-05-26	1722
2010-05-01	1722
2010-12-18	1711
2010-12-12	1711
2010-05-30	1704
2010-06-14	1692
2010-05-16	1684
2011-01-01	1671
2010-12-10	1646
2010-05-27	1630
2010-11-30	1622
2010-12-17	1619
2010-12-09	1612
2010-06-21	1611
2010-05-23	1606
2010-04-24	1602
2010-05-21	1575
2010-05-20	1574
2010-12-19	1559
2010-05-07	1542
2010-11-29	1540
2010-12-08	1507
2010-12-06	1502
2010-12-30	1495
2010-04-17	1470
2010-12-07	1450
2010-12-21	1447
2010-05-06	1444
2010-05-24	1437
2010-05-31	1434
2010-05-14	1433
2010-04-30	1418
2010-05-13	1411
2010-12-27	1402
2010-05-19	1388
2010-06-01	1385
2010-12-28	1384
2010-12-13	1382
2010-05-12	1378
2010-05-09	1364
2010-12-14	1357
2010-04-18	1344
2010-06-15	1342
2010-04-10	1337
2010-05-25	1334
2010-05-11	1322
2010-12-31	1313
2010-05-02	1313
2010-12-15	1311
2010-04-23	1299
2010-12-16	1297
2010-04-16	1296
2010-12-20	1294
2010-05-05	1283
2010-12-22	1279
2010-04-22	1269
2011-01-02	1259
2010-12-24	1252
2010-04-29	1247
2010-04-03	1223
2010-05-18	1215
2010-04-28	1206
2010-12-26	1198
2010-05-10	1196
2010-04-25	1187
2010-12-23	1185
2010-03-20	1177
2010-04-11	1176
2010-04-21	1176
2010-04-20	1150
2010-04-15	1108
2010-05-17	1100
2010-04-14	1046
2011-01-03	1028
2010-04-07	1024
2010-05-03	1016
2010-04-27	1006
2010-03-27	1000
2010-03-21	991
2010-04-09	986
2010-04-13	984
2011-01-07	979
2010-03-28	965
2010-05-04	964
2011-01-05	956
2011-01-09	953
2010-04-19	923
2010-04-01	915
2010-04-04	910
2010-12-25	907
2010-03-26	903
2011-01-08	896
2011-01-04	895
2010-04-26	886
2011-01-06	873
2011-01-11	854
2010-03-25	840
2010-04-12	819
2010-04-08	817
2010-03-19	811
2010-04-06	809
2010-03-24	780
2010-03-31	752
2010-03-17	744
2010-03-18	726
2010-04-05	703
2011-01-12	702
2010-03-23	689
2011-01-10	687
2010-03-22	668
2010-03-30	642
2010-03-29	629
2010-03-13	610
2010-03-06	605
2010-03-14	594
2011-01-13	588
2010-03-16	570
2010-03-07	568
2011-01-14	537
2010-04-02	533
2010-03-15	501
2011-01-16	497
2011-01-15	488
2010-03-12	477
2010-03-11	435
2010-03-05	429
2011-01-17	423
2010-03-10	396
2010-03-04	373
2010-02-26	362
2010-02-28	341
2010-03-09	337
2010-03-03	318
2010-03-08	314
2010-02-27	300
2010-03-02	298
2011-01-18	263
2010-03-01	256
2011-01-19	102
2011-01-20	23
2010-02-25	9
2011-01-21	1
